,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,"Sands Capital Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,462,053",$0,"$1,462,053"
1,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Sound Shore Management Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,023,168",$0,"$1,023,168"
2,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,"Snyder Capital Management, L.P.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$940,935","$31,872","$972,807"
3,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Alight Solutions LLC,"Direct payment from the plan, Account maintenance fees",NONE,"$884,649",$0,"$884,649"
4,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Ubs Realty Investors,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$738,297",$0,"$738,297"
5,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Silchester International Investors,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$699,578",$0,"$699,578"
6,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,"Aon Consulting, Inc.","Direct payment from the plan, Account maintenance fees",NONE,"$297,679",$0,"$297,679"
7,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Callan LLC,"Investment advisory (plan), Direct payment from the plan",NONE,"$204,967",$0,"$204,967"
8,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$112,779",$0,"$112,779"
9,VOYA RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/248682/Voya-Services-Company/13913967/Voya-Retirement-Plan/,Voya Services Company,01/01/2018 — 12/31/2018,01/01/1937,"$1,607,210,300",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,950","6,427","6,957","19,334",829,"20,163","20,035",0,276,$0,$0,$0,$0,$0,$0,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,524290,Kimberly Shattuck,Voya Financial Pension Committee,5780 Powers Ferry Road North West ,Atlanta,GA,30327-4349,(800) 555-1899,52-1317217,Steptoe & Johnson LLP,"Legal, Direct payment from the plan",NONE,"$77,322",$0,"$77,322"
