,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Willis Towers Watson,Contract Administrator,NONE,"$5,789,436",$0,"$5,789,436"
1,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,The Bank of New York Mellon,"Contract Administrator, Custodial (other than securities)",NONE,"$1,138,430",$0,"$1,138,430"
2,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Mercer,Consulting (pension),NONE,"$600,479",$0,"$600,479"
3,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Frost Brown Todd,Legal,NONE,"$372,936",$0,"$372,936"
4,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Deloitte,Consulting (general),NONE,"$265,525",$0,"$265,525"
5,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Risk Compliance,Participant communication,NONE,"$119,237",$0,"$119,237"
6,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,KPMG,Accounting (including auditing),NONE,"$109,000",$0,"$109,000"
7,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Scotia Trust,"Consulting (general), Legal",NONE,"$23,795",$0,"$23,795"
8,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Mailmedia,Participant communication,NONE,"$20,297",$0,"$20,297"
9,WEYERHAEUSER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/394043/Weyerhaeuser-Company/13913762/Weyerhaeuser-Pension-Plan/,Weyerhaeuser Company,01/01/2018 — 12/31/2018,01/01/1945,"$4,115,603,146",2,Single Employer,Yes,Yes,Trust,InsuranceTrust,"5,350","29,199","12,641","47,190","7,469","54,659","68,975",0,41,$0,$0,$0,$0,$0,$0,220 Occidental Ave S ,Seattle,WA,98104,(206) 539-3000,91-0470860,321900,Jody Robinson-Cody,Schulte Roth and Zabel,Legal,NONE,"$10,852",$0,"$10,852"
