,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2017,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Stris & Maher LLP,Legal,NONE,"$4,958,834",$0,"$4,958,834"
1,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Xerox Corporation,"Accounting (including auditing), Recordkeeping and information management (computing, tabulating, data processing, etc.), Plan Administrator, Direct payment from the plan",Employer,"$2,676,072",$0,"$2,676,072"
2,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Conduent Incorporated,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$1,230,827",$0,"$1,230,827"
3,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,State Street Bank and Trust,"Trustee (bank, trust company, or similar financial institution), Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (directed), Direct payment from the plan",Trustee,"$514,034",$0,"$514,034"
4,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Pricewaterhousecoopers LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$302,045",$0,"$302,045"
5,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Aon Consulting Inc.,Actuarial,NONE,"$261,570",$0,"$261,570"
6,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Hewitt Associates,"Actuarial, Legal, Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Consulting (pension)",NONE,"$208,300",$0,"$208,300"
7,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Morgan Lewis & Bockius LLP,Legal,NONE,"$188,710",$0,"$188,710"
8,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Littler Mendelson Pc,"Legal, Direct payment from the plan",NONE,"$177,163",$0,"$177,163"
9,XEROX CORPORATION RETIREMENT INCOME GUARANTEE PLAN,https://www.brightscope.com/form-5500/basic-info/59401/Xerox-Corporation/13913782/Xerox-Corporation-Retirement-Income-Guarantee-Plan/,Xerox Corporation,01/01/2017 — 12/31/2017,07/01/1977,$0,333,Multiple Employer,Yes,No,This is an amended report.This is the final report filed for the plan.,Trust,Trust,0,0,0,0,0,0,"22,914",0,50,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,"Nepc, LLC","Investment advisory (plan), Direct payment from the plan",NONE,"$58,202",$0,"$58,202"
