,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 11/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,"Towers Watson, Delaware Inc.",Actuarial,NONE,"$344,376",$0,"$344,376"
1,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Custodial (other than securities)",NONE,"$208,555",$0,"$208,555"
2,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Custodial (other than securities), Direct payment from the plan",NONE,"$189,492",$0,"$189,492"
3,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,Aberdeen Asset Management,"Investment management, Investment management fees paid indirectly by plan",NONE,"$169,742",$0,"$169,742"
4,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,Merit Energy Company,"Investment management fees paid directly by plan, Float revenue",NONE,$0,"$101,132","$101,132"
5,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,Rutabaga Capital Management,"Investment management, Investment management fees paid indirectly by plan",NONE,"$99,649",$0,"$99,649"
6,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,Brown Investment Advisory,"Investment management, Investment management fees paid indirectly by plan, Trustee (bank, trust company, or similar financial institution)",NONE,"$97,888",$0,"$97,888"
7,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,"Mercer (Us), Inc.",Consulting (general),NONE,"$97,707",$0,"$97,707"
8,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,State Street Global Advisors,"Investment management fees paid directly by plan, Custodial (securities)",Investment Manager,"$52,888",$0,"$52,888"
9,YALE-NEW HAVEN HOSPITAL CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27353/Yale-New-Haven-Hospital-Inc/13933288/Yale-New-Haven-Hospital-Cash-Account-Pension-Plan/,Yale-New Haven Hospital  Inc.,12/01/2017 — 11/30/2018,12/01/1991,"$489,036,219",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"14,637",636,"2,816","18,089",118,"18,207","17,358",0,268,$0,$0,$0,$0,$0,$0,20 York Street ,New Haven,CT,06510-3220,(203) 688-2000,06-0646652,622000,"Baker Tilly Virchow Krause, LLP",Accounting (including auditing),NONE,"$33,660",$0,"$33,660"
