,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Pacific Investment Management Co,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$579,706",$0,"$579,706"
1,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Mecer,"Actuarial, Direct payment from the plan",NONE,"$300,483",$0,"$300,483"
2,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$261,333",$0,"$261,333"
3,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Nisa Investment Advisors L.L.C.,"Trustee (bank, trust company, or similar financial institution), Valuation (appraisals, etc.), Trustee (discretionary), Direct payment from the plan, Investment management, Investment management fees paid directly by plan",NONE,"$257,264",$0,"$257,264"
4,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Towers Watson Investment Service,"Actuarial, Direct payment from the plan",NONE,"$211,387",$0,"$211,387"
5,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,"Conduent Hr Services, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$192,516",$0,"$192,516"
6,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Blackrock,"Trustee (bank, trust company, or similar financial institution), Valuation (appraisals, etc.), Trustee (discretionary), Direct payment from the plan, Investment management, Investment management fees paid directly by plan",NONE,"$170,724",$0,"$170,724"
7,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,"Dimensional Fund Advisors, Lp","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$149,363",$0,"$149,363"
8,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Jp Morgan Investment Management Inc,"Trustee (bank, trust company, or similar financial institution), Valuation (appraisals, etc.), Trustee (discretionary), Direct payment from the plan, Investment management, Investment management fees paid directly by plan",NONE,"$52,612",$0,"$52,612"
9,Yum Brands Retirement Plan,https://www.brightscope.com/form-5500/basic-info/470707/Yum-Brands-Inc/13914011/Yum-Brands-Retirement-Plan/,Yum Brands  Inc.,01/01/2018 — 12/31/2018,10/07/1997,"$754,670,000",333,Multiple Employer,No,Yes,Trust,Trust,"5,906","3,729","14,227","23,862",744,"24,606","26,349",0,"1,572",$0,$0,$0,$0,$0,$0,1441 Gardiner Lane ,Louisville,KY,40213,(502) 874-1000,13-3951308,722513,Joann Watkins,Preferred Staffing LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$32,871",$0,"$32,871"
