,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,"Towers Watson Pennsylvania, Inc.","Actuarial, Direct payment from the plan",NONE,"$1,518,433",$0,"$1,518,433"
1,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Pimco,"Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$653,378",$0,"$653,378"
2,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$226,618",$0,"$226,618"
3,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Mercer,"Actuarial, Direct payment from the plan",NONE,"$177,349",$0,"$177,349"
4,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Blackrock Financial Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$139,522",$0,"$139,522"
5,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Aon Consulting,"Actuarial, Direct payment from the plan",NONE,"$79,000",$0,"$79,000"
6,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Inspirafs Inc,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$60,133",$0,"$60,133"
7,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Metlife,"Investment management, Direct payment from the plan",NONE,"$39,346",$0,"$39,346"
8,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Seyfarth Shaw LLP,"Legal, Direct payment from the plan",NONE,"$35,412",$0,"$35,412"
9,ZURICH AMERICAN INSURANCE COMPANY RETIREMENT ACCOUNT PLAN,https://www.brightscope.com/form-5500/basic-info/178031/Zurich-American-Insurance-Company/13914021/Zurich-American-Insurance-Company-Retirement-Account-Plan/2018/,ZURICH AMERICAN INSURANCE COMPANY,01/01/2018 — 12/31/2018,01/01/1950,"$1,336,339,430",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,422","5,351","8,554","22,327",804,"23,131","23,371",0,368,$0,$0,$0,$0,$0,$0,1299 Zurich Way 2W ,Schaumburg,IL,60196-1056,(847) 605-6213,36-4233459,524290,Total,Total,Total,"$2,929,191",$0,"$2,929,191"
