,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Shareholder servicing fees",NONE,"$1,025,333",$0,"$1,025,333"
1,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,LBI,"Consulting (general), Direct payment from the plan",NONE,"$499,073",$0,"$499,073"
2,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,The Northern Trust,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$297,905",$0,"$297,905"
3,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,"Pricewaterhousecoopers, LLP","Accounting (including auditing), Direct payment from the plan",NONE,"$117,200",$0,"$117,200"
4,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Axa Equitable,"Other services, Direct payment from the plan",NONE,"$78,235",$0,"$78,235"
5,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Pershing LLC,"Shareholder servicing fees, Finders' fees/placement fees, Securities brokerage commissions and fees, Other fees",NONE,$0,"$41,993","$41,993"
6,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Alight Financial Solutions LLC,"Finders' fees/placement fees, Distribution (12b-1) fees",NONE,$0,"$23,025","$23,025"
7,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Kilpatrick Townsend & Stockton LLP,"Legal, Direct payment from the plan",NONE,"$15,219",$0,"$15,219"
8,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Broadridge Ics,"Other services, Direct payment from the plan",NONE,"$11,852",$0,"$11,852"
9,AXA Equitable Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1969,"$1,902,500,496",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,888",19,"7,815","16,722",333,"17,055","15,410","15,445",626,$0,$0,$0,$0,$0,$0,525 Washington Blvd 36th Fl,Jersey City,NJ,07310,(800) 829-2633,13-5570651,524140,The Benefits Administrative Committee,525 Washington Blvd ,Jersey City,NJ,07310,(800) 829-2633,13-5570651,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Total,Total,Total,"$2,044,817","$65,018","$2,109,835"
