,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Fidelity Investments Instl Ops,"Recordkeeping fees, Account maintenance fees",Recordkeeper,"$912,269",$0,"$912,269"
1,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,"Financial Engines, Inc.",Investment advisory (participants),Advisor,"$806,576",$0,"$806,576"
2,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,William Blair Investment Mgmt LLC,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$441,264",$0,"$441,264"
3,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Lyrical Asset Mgmt,Investment management fees paid directly by plan,NONE,"$434,488",$0,"$434,488"
4,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,"Galliard Capital Management, Inc.",Investment management fees paid directly by plan,NONE,"$383,561",$0,"$383,561"
5,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Jennison Associates LLC,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$370,070",$0,"$370,070"
6,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Columbus Circle Investors,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$356,995",$0,"$356,995"
7,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Strategic Advisors,Investment advisory (participants),Advisor,"$173,162",$0,"$173,162"
8,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Nuveen Asset Management,"Investment management, Investment management fees paid directly by plan",NONE,"$124,085",$0,"$124,085"
9,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Boston Partners Global Investors,"Investment management, Investment management fees paid directly by plan",NONE,"$64,177",$0,"$64,177"
10,Ameren Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$2,284,721,631",3,Single Employer,Yes,Yes,InsuranceTrust,Trust,"8,851",295,"1,723","10,869",6,"10,875","10,576","10,601",0,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir. Benefits","Marla J. Langenhorst, Dir. Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Total,Total,Total,"$4,066,647",$0,"$4,066,647"
