,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Wedge Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$616,508",$0,"$616,508"
1,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,J.P. Morgan Investment Management,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$594,492",$0,"$594,492"
2,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Arrowmark Partners,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$558,438",$0,"$558,438"
3,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Mellon Capital,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Float revenue, Other fees",NONE,"$499,569",$0,"$499,569"
4,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pinnacle Associates,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$454,189",$0,"$454,189"
5,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Jennison Associates, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$426,717",$0,"$426,717"
6,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Robeco Boston Partners,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Securities brokerage commissions and fees",NONE,"$387,110",$0,"$387,110"
7,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Galliard Capital Management, Inc","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$352,655",$0,"$352,655"
8,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Jp Morgan Chase Bank, Na","Custodial (other than securities), Custodial (securities), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan, Float revenue",NONE,"$246,373","$57,535","$303,908"
9,American Electric Power Service Corporation,01/01/2018 — 12/31/2018,01/01/1978,"$4,279,709,819",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"17,937","1,101","3,136","22,174",285,"22,459","22,461","22,163",0,$0,$0,$0,$0,$0,$0,1 Riverside Plaza ,Columbus,OH,43215,(614) 716-1000,13-4922641,221100,Julia A. Sloat,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Great-West Life & Annuity Insurance,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Other services, Distribution (12b-1) fees, Recordkeeping fees",NONE,"$233,650","$58,247","$291,897"
