,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,"Alight Financial Advisors, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$2,302,329",$0,"$2,302,329"
1,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,"Jp Morgan Chase Bank, N.A.","Investment management, Direct payment from the plan",NONE,"$880,107",$0,"$880,107"
2,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Pimco,"Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan",NONE,"$839,726",$0,"$839,726"
3,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,T Rowe Price,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other fees",NONE,"$799,691",$0,"$799,691"
4,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Dodge and Cox,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other fees",NONE,"$790,126",$0,"$790,126"
5,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$748,449",$0,"$748,449"
6,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Westfield Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan",NONE,"$655,889",$0,"$655,889"
7,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Cardinal Capital Mgmt,"Investment advisory (plan), Direct payment from the plan",NONE,"$607,230",$0,"$607,230"
8,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$602,105",$0,"$602,105"
9,Aon Corporation,01/01/2018 — 12/31/2018,07/01/1984,"$4,373,298,000",20,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"14,944",60,"11,990","26,994",238,"27,232","28,902","25,220",171,$0,$0,$0,$0,$0,$0,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,"200 East Randolph Street, 6th Floor ",Chicago,IL,60601,(312) 381-1000,36-2883409,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Blackrock Institutional Trust,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$541,283",$0,"$541,283"
