,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,American Century,Investment management,Investment Management,"$1,918,054",$0,"$1,918,054"
1,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Columbia Management Advisors LLC,Investment management,Investment Management,"$1,148,064",$0,"$1,148,064"
2,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Ivy Investment,Investment management,Investment Management,"$1,119,833",$0,"$1,119,833"
3,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Fidelity Institutional Asset Mgt,Investment management,Investment Management,"$1,032,359",$0,"$1,032,359"
4,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Jp Morgan,"Investment management, Custodial (securities)",Investment Management,"$964,229",$0,"$964,229"
5,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Seix Advisors,Investment management,Investment Management,"$254,082",$0,"$254,082"
6,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Mercer,Consulting (general),Consultant,"$184,013",$0,"$184,013"
7,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Winston and Strawn LLP,Legal,Legal,"$138,667",$0,"$138,667"
8,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Cohnreznick LLP,Accounting (including auditing),Accountants,"$46,116",$0,"$46,116"
9,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$3,830,212,553",2,Single Employer,No,Yes,Trust,Trust,"32,065",0,"12,772","44,837",234,"45,071","44,012","43,175",965,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Audited,Cohnreznick LLP,22-1478099,Unqualified,Full Audit,Northern Trust,Investment management,Investment Management,"$22,063",$0,"$22,063"
