,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Conduent,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$911,094",$0,"$911,094"
1,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,"Blackrock Investments, LLC","Investment management, Investment management fees paid directly by plan",NONE,"$318,974",$0,"$318,974"
2,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Mellon Capital Management,"Investment management, Investment management fees paid directly by plan",NONE,"$125,805",$0,"$125,805"
3,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Bmo Financial Corp.,"Investment management, Investment management fees paid directly by plan",Plan Sponsor,"$83,227",$0,"$83,227"
4,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Jpmorgan Chase,"Investment management, Investment management fees paid directly by plan",NONE,"$76,494",$0,"$76,494"
5,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Dimensional Fund Advisors,"Investment management, Investment management fees paid directly by plan",NONE,"$38,313",$0,"$38,313"
6,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,T. Rowe Price,"Investment management, Investment management fees paid directly by plan",NONE,"$36,193",$0,"$36,193"
7,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Mfs International,"Investment management, Investment management fees paid directly by plan",NONE,"$19,641",$0,"$19,641"
8,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Hartford Funds,"Investment management, Investment management fees paid directly by plan",NONE,"$16,605",$0,"$16,605"
9,BMO FINANCIAL CORP.,01/01/2018 — 12/31/2018,01/01/1916,"$1,874,989,817",1,Single Employer,No,Yes,Trust,Trust,"16,007",430,"3,264","19,701",82,"19,783","17,002","19,783",0,$0,$0,$0,$0,$0,$0,111 West Monroe Street 7 West,Chicago,IL,60603-4096,(312) 461-6836,51-0275712,522110,Gary M. Hansen,Benefits Administration Committee,111 West Monroe Street ,Chicago,IL,60603-4096,(312) 461-6836,36-2873029,Audited,"George Johnson & Company of Il, LLC",27-0475249,Unqualified,Full Audit,Total,Total,Total,"$1,626,346",$0,"$1,626,346"
