,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,VOYA,"Investment management fees paid directly by plan, Direct payment from the plan, Recordkeeping fees",NONE,"$880,782",$0,"$880,782"
1,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,State Street Bank & Trust,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$841,148",$0,"$841,148"
2,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Jennison Associates,"Investment management, Investment management fees paid directly by plan",NONE,"$639,097",$0,"$639,097"
3,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Metropolitan Life Insurance Company,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$611,755","$611,755"
4,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Vanguard,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$486,012","$486,012"
5,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Loomis Sayles,"Investment management, Investment management fees paid directly by plan",NONE,"$403,959",$0,"$403,959"
6,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Transamerica,"Investment management, Investment management fees paid directly by plan",NONE,"$388,797",$0,"$388,797"
7,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Alliance Bernstein,"Investment management, Investment management fees paid directly by plan",NONE,"$372,627",$0,"$372,627"
8,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Standish Mellon,"Investment management, Investment management fees paid directly by plan",NONE,"$245,985",$0,"$245,985"
9,Baxter International Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$2,339,567,996",23,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,884",281,"8,888","21,053",477,"21,530","21,602","21,181",625,$0,$0,$0,$0,$0,$0,One Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-0781620,541990,Christine Fleming,Administrative Committee,1 Baxter Parkway ,Deerfield,IL,60015-4625,(224) 948-2000,36-2902398,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Prudential,"Investment management, Investment management fees paid directly by plan",NONE,"$184,597",$0,"$184,597"
