,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Goldman Sachs Asset Management,"Direct payment from the plan, Other insurance wrap fees",Invest. Mgr. Wrapper Fees,"$1,331,539",$0,"$1,331,539"
1,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Financial Engines,"Investment advisory (participants), Direct payment from the plan",Investment Advisor,"$1,303,888",$0,"$1,303,888"
2,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Sub-transfer agency fees, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees, Other fees",Recordkeeper,"$1,097,296",$0,"$1,097,296"
3,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pacific Investment Management Corp,"Direct payment from the plan, Redemption fees",Invest. Mgr. Wrapper Fees,"$954,839",$0,"$954,839"
4,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Wellington Management Co LLP,"Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$858,776",$0,"$858,776"
5,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Pgim, Inc.","Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$598,072",$0,"$598,072"
6,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$589,072",$0,"$589,072"
7,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Prudential,"Direct payment from the plan, Other insurance wrap fees",Wrapper Fees,"$509,817",$0,"$509,817"
8,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Blackrock,"Direct payment from the plan, Other insurance wrap fees",Wrapper Fees,"$472,773",$0,"$472,773"
9,CBS Corporation,01/01/2018 — 12/31/2018,06/04/1971,"$3,681,000,849",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,830","2,645","8,437","22,912",197,"23,109","23,301","22,465",836,$0,$0,$0,$0,$0,$0,51 W 52nd St ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,Stephen D. Mirante,Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6118,(212) 975-4321,04-2949533,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Dodge & Cox,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$449,258",$0,"$449,258"
