,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Tempo Holding Co LLC Dba Alight Sol,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$2,142,041",$0,"$2,142,041"
1,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,T. Rowe Price Stable Asset Mgmt Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$628,469",$0,"$628,469"
2,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Wellington Management Co LLP,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$477,492",$0,"$477,492"
3,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$442,123",$0,"$442,123"
4,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Mercer,"Actuarial, Direct payment from the plan",NONE,"$388,310",$0,"$388,310"
5,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Pacific Investment Management Compa,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$245,227",$0,"$245,227"
6,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment advisory (participants), Direct payment from the plan",NONE,"$77,189",$0,"$77,189"
7,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Mazars USA LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$68,974",$0,"$68,974"
8,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Chubb,Insurance services,Trustee,"$6,187",$0,"$6,187"
9,CHUBB,01/01/2018 — 12/31/2018,07/02/1999,"$2,220,018,017",105,Single Employer,No,Yes,Trust,Trust,"18,235",26,"4,668","22,929",128,"23,057","22,052","18,555",286,$0,$0,$0,$0,$0,$0,436 Walnut Street Wa03N,Philadelphia,PA,19106-3703,(215) 640-2694,95-2371728,524290,Audited,Mazars USA LLP,13-1459550,Disclaimer,Limited Scope Audit,Total,Total,Total,"$4,476,012",$0,"$4,476,012"
