,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,"Advised Assets Group, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$973,334",$0,"$973,334"
1,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Great-West Life & Annuity Ins Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Direct payment from the plan, Recordkeeping fees",NONE,"$822,899",$0,"$822,899"
2,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Northern Turst Company,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Securities brokerage, Securities brokerage commissions and fees",NONE,"$381,523",$0,"$381,523"
3,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Dodge & Cox,"Investment advisory (plan), Investment management fees paid indirectly by plan",NONE,$0,"$331,571","$331,571"
4,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Wellington Management Co. LLP,"Investment advisory (plan), Investment management fees paid indirectly by plan",NONE,$0,"$323,405","$323,405"
5,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Morgan Stanley Invest Management,"Investment advisory (plan), Investment management fees paid indirectly by plan",NONE,$0,"$322,450","$322,450"
6,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Loomis Sayles,"Investment advisory (plan), Investment management fees paid indirectly by plan",NONE,$0,"$272,001","$272,001"
7,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Earnst & Young,Accounting (including auditing),NONE,"$72,540",$0,"$72,540"
8,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,"Qdro Consultants Company, LLC.","Consulting (general), Direct payment from the plan",NONE,"$6,600",$0,"$6,600"
9,CSX Corporation,01/01/2018 — 12/31/2018,08/01/1989,"$1,286,909,709",4,Single Employer,Yes,Yes,Trust,Trust,"21,973","1,120","1,992","25,085",174,"25,259","27,235","15,845",0,$0,$0,$0,$0,$0,$0,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,482110,Michelle Mullen,Csx Benefits Department,500 Water Street ,Jacksonville,FL,32202,(904) 359-3406,62-1051971,Audited,Ernst and Young,34-6565596,Unqualified,Full Audit,Total,Total,Total,"$2,256,896","$1,249,427","$3,506,323"
