,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Alight Financial Advisors, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$3,133,647",$0,"$3,133,647"
1,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$826,808",$0,"$826,808"
2,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Strategic Benefit Advisors,"Contract Administrator, Consulting (general), Direct payment from the plan",NONE,"$589,325",$0,"$589,325"
3,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$407,182",$0,"$407,182"
4,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Alight Financial Solutions LLC,"Securities brokerage, Direct payment from the plan, Finders' fees/placement fees, Distribution (12b-1) fees",NONE,"$130,000",$0,"$130,000"
5,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pricewaterhousecoopers LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$82,033",$0,"$82,033"
6,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Russell Investments,"Valuation (appraisals, etc.), Other services, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$61,231",$0,"$61,231"
7,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Jellyvision Lab, Inc.","Investment management, Direct payment from the plan",NONE,"$19,662",$0,"$19,662"
8,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Cem Benchmarking Inc,"Valuation (appraisals, etc.), Direct payment from the plan",NONE,"$15,707",$0,"$15,707"
9,Caterpillar Inc.,01/01/2018 — 12/31/2018,01/01/2011,"$6,986,136,382",35,Single Employer,No,Yes,Trust,Trust,"27,530",0,"5,752","33,282",135,"33,417","30,969","30,663",262,$0,$0,$0,$0,$0,$0,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,333100,Caterpillar Inc.,510 Lake Cook Road ,Deerfield,IL,60015,(224) 551-4000,37-0602744,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Total,Total,Total,"$5,265,595",$0,"$5,265,595"
