,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,"Voya Retirement Asdvisors, LLC",Contract Administrator,NONE,"$1,480,587",$0,"$1,480,587"
1,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Voya Institutional Plan Services,Recordkeeping fees,NONE,"$346,431",$0,"$346,431"
2,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Goldman Sachs Asset Management Comp,Investment management,NONE,"$291,446",$0,"$291,446"
3,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Transamerica Life and Annuity,Investment management,NONE,"$142,764",$0,"$142,764"
4,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Blackrock,Investment management,NONE,"$109,779",$0,"$109,779"
5,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",NONE,"$85,628","$10,887","$96,515"
6,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Alight Solutions LLC,Consulting (general),NONE,"$80,775",$0,"$80,775"
7,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Mcconnell and Jones LLP,Accounting (including auditing),NONE,"$59,775",$0,"$59,775"
8,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Mellon Capital Mgmt. Corp,Consulting (general),NONE,"$13,849",$0,"$13,849"
9,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Gray Reed & Mcgraw Pc,Legal,NONE,"$11,325",$0,"$11,325"
10,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Mellon Capital,Consulting (general),NONE,"$9,878",$0,"$9,878"
11,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1973,"$2,108,802,293",15,Single Employer,Yes,Yes,Trust,Trust,"8,012",27,"1,814","9,853",60,"9,913","9,657","9,802",0,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Audited,Mcconnell & Jones LLP,76-0488832,Unqualified,Full Audit,Total,Total,Total,"$2,632,237","$10,887","$2,643,124"
