,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$4,900,280",$0,"$4,900,280"
1,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,State Street Global Advrs Trust Co.,"Other services, Direct payment from the plan",NONE,"$2,119,613",$0,"$2,119,613"
2,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"T Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,095,765",$0,"$2,095,765"
3,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Blackrock Institutional Trust Co,Na","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,870,097",$0,"$1,870,097"
4,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Tt International,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$667,026","$505,572","$1,172,598"
5,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Wcm Investment Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$913,023",$0,"$913,023"
6,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Lazard Asset Management LLC,"Investment advisory (participants), Direct payment from the plan, Other commissions, Distribution (12b-1) fees, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$796,953",$0,"$796,953"
7,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"William Blair Investment Mgmt, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$600,198",$0,"$600,198"
8,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,AEW,"Investment management, Direct payment from the plan",NONE,"$546,450",$0,"$546,450"
9,Citigroup Inc.,01/01/2018 — 12/31/2018,01/01/1987,"$13,304,440,094",4,Single Employer,No,Yes,Trust,Trust,"72,527",151,"45,498","118,176","1,181","119,357","122,342","111,882","1,023",$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Plans Admin Comm of Citigroup Inc.,P.O. Box 1407 ,Lincolnshire,IL,60069-1407,(800) 881-3938,52-1568099,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Standish Bny Mellon,"Investment management, Direct payment from the plan",NONE,"$463,882",$0,"$463,882"
