,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,"Alight Solutions, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",,"$964,186",$0,"$964,186"
1,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,Towers Watson Delaware Inc.,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",,"$629,822",$0,"$629,822"
2,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Trustee,"$505,914",$0,"$505,914"
3,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,"T. Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",,"$476,894",$0,"$476,894"
4,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,"Gsam Stable Value, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",,"$334,934",$0,"$334,934"
5,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,State Street Global Adivsors,"Trustee (directed), Direct payment from the plan",,"$334,189",$0,"$334,189"
6,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,"Blackrock Inst. Trust Co., N.A.","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",,"$240,637",$0,"$240,637"
7,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,Brandywine Global Inv Mgmnt LLC,"Investment management, Direct payment from the plan",,"$157,974",$0,"$157,974"
8,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,"Ernst & Young, LLP","Other services, Direct payment from the plan",,"$141,002",$0,"$141,002"
9,Colgate-Palmolive Company,01/01/2018 — 12/31/2018,07/01/1960,"$2,662,377,361",3,Single Employer,No,Yes,InsuranceTrust,Trust,"4,724",21,"2,665","7,410",43,"7,453","7,414","7,403",68,$0,$0,$0,$0,$0,$0,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-1815595,325600,Laura Flavin,Colgate-Palmolive Employee Relations Committee,300 Park Avenue ,New York,NY,10022,(212) 310-2000,13-2854931,Audited,Grant Thornton LLP,36-6055558,Unqualified,Full Audit,Colgate-Palmolive Company,"Employee (plan sponsor), Direct payment from the plan",Plan Sponsor,"$102,510",$0,"$102,510"
