,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,State Street Global Advisors,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,236,467",$0,"$1,236,467"
1,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,"Loomis, Sayles & Company","Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$31,700",$0,"$31,700"
2,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Jp Morgan Funds Services,"Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$30,818",$0,"$30,818"
3,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,T Rowe Price Associates Inc,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$11,249",$0,"$11,249"
4,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Dodge and Cox,"Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$9,059",$0,"$9,059"
5,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Wells Fargo - Galliard Capital Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other fees",NONE,"$3,403",$0,"$3,403"
6,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Pimco,"Investment advisory (plan), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,$203,$0,$203
7,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Dimensional Funds Advisors Lp,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,$132,$0,$132
8,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Sei Trust Company - Rothschlid,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,$53,$0,$53
9,DISCOVER FINANCIAL SERVICES,01/01/2018 — 12/31/2018,07/01/2007,"$1,496,637,277",3,Single Employer,No,Yes,Trust,Trust,"25,655",0,"5,897","31,552",95,"31,647","31,279","21,524","2,079",$0,$0,$0,$0,$0,$0,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,522210,Employee Benefits Committee of Discover Financial Services,2500 Lake Cook Road ,Riverwoods,IL,60015,(224) 405-0900,36-2517428,Audited,Crowe LLP,35-0921680,Disclaimer,Limited Scope Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Other fees",NONE,$0,$0,$0
