,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,"Financial Engine Advisors, LLC",Investment advisory (participants),Inv Advisory,"$1,923,455",$0,"$1,923,455"
1,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Capital Research & Management Co.,Investment management fees paid indirectly by plan,Investment Manager,$0,"$925,746","$925,746"
2,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Western Asset Management Co. LLC,Investment management fees paid indirectly by plan,Investment Manager,$0,"$401,790","$401,790"
3,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Centersquare Investment Management,Investment management fees paid indirectly by plan,Investment Manager,$0,"$290,406","$290,406"
4,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Van Eck Securities Corporation,Investment management fees paid indirectly by plan,Investment Manager,$0,"$277,436","$277,436"
5,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Standish Mellon Asset Mgmt Co. LLC,Investment management fees paid indirectly by plan,Investment Manager,$0,"$164,760","$164,760"
6,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Northern Trust Global Investments,Investment management fees paid indirectly by plan,Investment Manager,$0,"$150,601","$150,601"
7,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,"The Vanguard Group, Inc.",Investment management fees paid indirectly by plan,Investment Manager,$0,"$115,767","$115,767"
8,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Northern Trust Global Investments,Investment management fees paid indirectly by plan,Investment Manager,$0,"$107,343","$107,343"
9,Dominion Energy Inc,01/01/2018 — 12/31/2018,07/01/1963,"$3,178,770,836",1,Single Employer,Yes,Yes,Trust,Trust,"11,107",280,"2,648","14,035",152,"14,187","11,821","13,922",0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Josh Blakeney, Controller","Dominion Energy Services, Inc.",701 East Cary Street ,Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,"The Vanguard Group, Inc.",Investment management fees paid indirectly by plan,Investment Manager,$0,"$89,424","$89,424"
