,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Fidelity Investments Institutional,"Recordkeeping fees, Account maintenance fees",Recordkeeper,"$880,374",$0,"$880,374"
1,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Vanguard,"Recordkeeping fees, Account maintenance fees",Recordkeeper,"$848,114",$0,"$848,114"
2,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,"Capfinancial Partners, LLC","Investment management, Investment management fees paid indirectly by plan",Investment Management,"$160,329",$0,"$160,329"
3,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Valic Retirement Services Company,"Participant loan processing, Other investment fees and expenses, Investment management, Legal, Distribution (12b-1) fees, Other services, Finders' fees/placement fees, Recordkeeping fees, Custodial (securities), Investment management fees paid indirectly by plan, Other fees, Sub-transfer agency fees, Shareholder servicing fees, Securities brokerage",NONE,"$109,893",$0,"$109,893"
4,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,"Classic Graphics, Inc","Direct payment from the plan, Other fees",NONE,"$43,832",$0,"$43,832"
5,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Variable Annuity Life Insurance Co.,"Sub-transfer agency fees, Investment management fees paid indirectly by plan, Distribution (12b-1) fees, Insurance mortality and expense charge, Recordkeeping fees, Other fees, Other investment fees and expenses, Other services, Participant loan processing, Legal, Securities brokerage, Custodial (securities), Shareholder servicing fees, Investment management",NONE,"$30,359",$0,"$30,359"
6,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,KPMG LLP,Accounting (including auditing),NONE,"$29,000",$0,"$29,000"
7,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Conduent Hr Consulting LLC,"Consulting (general), Direct payment from the plan",NONE,"$22,396",$0,"$22,396"
8,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,"Morgan, Lewis & Bockius LLP","Legal, Direct payment from the plan",NONE,"$13,812",$0,"$13,812"
9,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Rr Donnelley,Direct payment from the plan,NONE,"$6,579",$0,"$6,579"
10,Duke University,01/01/2018 — 12/31/2018,01/01/1925,"$5,719,481,372",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"45,335",696,"17,789","63,820",79,"63,899","60,975","47,765","3,112",$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708,(919) 684-5600,56-0532129,611000,Kyle J. Cavanaugh,Kyle J. Cavanaugh,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Total,Total,Total,"$2,144,688",$0,"$2,144,688"
