,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,"The Vanguard Group, Inc.","Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (general), Securities brokerage, Participant loan processing, Account maintenance fees",Trustee,"$1,174,574",$0,"$1,174,574"
1,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Wellington,"Investment management, Investment management fees paid directly by plan",Asset Manager,"$1,119,283",$0,"$1,119,283"
2,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,American Century,Investment management,Asset Manager,"$930,856",$0,"$930,856"
3,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Mellon Bank of New York,"Custodial (other than securities), Investment management fees paid directly by plan",Custodian,"$707,838",$0,"$707,838"
4,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Mondrian,Investment management,Asset Manager,"$664,244",$0,"$664,244"
5,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Goldman Sachs,Investment management,Asset Manager,"$290,573",$0,"$290,573"
6,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Pimco,Investment management,Asset Manager,"$277,463",$0,"$277,463"
7,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Blackrock,Investment management,Asset Manager,"$221,891",$0,"$221,891"
8,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,"Gibson, Dunn & Crutcher LLP",Legal,Legal,"$34,339",$0,"$34,339"
9,Farmers Group Inc.,01/01/2018 — 12/31/2018,12/31/1948,"$2,905,007,868",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,052",353,"6,417","24,822",44,"24,866","24,613","24,356",2,$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Audited,Pricewaterhousecoopers,13-4008324,Unqualified,Full Audit,Total,Total,Total,"$5,421,061",$0,"$5,421,061"
