,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Aon Consulting, Inc.","Investment management, Legal, Other services, Direct payment from the plan, Investment management fees paid directly by plan, Recordkeeping fees, Other fees",NONE,"$2,485,563",$0,"$2,485,563"
1,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"General Mills, Inc.","Direct payment from the plan, Account maintenance fees",Plan Administrator,"$510,160",$0,"$510,160"
2,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,The Bank of New York Mellon,"Custodial (other than securities), Other services, Direct payment from the plan, Account maintenance fees, Other investment fees and expenses",NONE,"$445,218",$0,"$445,218"
3,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,State Street Global Advisors,"Investment management, Investment management fees paid directly by plan",NONE,"$197,984",$0,"$197,984"
4,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Kpmg, LLP","Accounting (including auditing), Direct payment from the plan",NONE,"$109,000",$0,"$109,000"
5,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Blackrock Institutional Trst Co, Na","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$35,494",$0,"$35,494"
6,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Thomson Reuters Markets LLC,"Consulting (general), Direct payment from the plan",NONE,"$24,160",$0,"$24,160"
7,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Cambridge Associates LLC,"Direct payment from the plan, Other fees",NONE,"$11,945",$0,"$11,945"
8,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Onecbiz, Inc.","Accounting (including auditing), Direct payment from the plan, Other fees",NONE,"$10,715",$0,"$10,715"
9,GENERAL MILLS INC,01/01/2018 — 12/31/2018,01/01/1969,"$3,241,102,285",2,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,Trust,"13,432",108,"6,961","20,501",223,"20,724","19,529","20,043",292,$0,$0,$0,$0,$0,$0,Number 1 General Mills Blvd Bt02-C ,Minneapolis,MN,55426,(763) 764-7600,41-0274440,311900,Kate Behring,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Total,Total,Total,"$3,830,239",$0,"$3,830,239"
