,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Fidelity Inv. Inst. Ops. Co.,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Securities brokerage, Participant loan processing, Participant communication, Direct payment from the plan, Redemption fees, Float revenue, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees, Other fees",Recordkeeper & Trustee,"$1,031,347",$0,"$1,031,347"
1,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Strategic Advisors, Inc.","Investment advisory (participants), Direct payment from the plan",Inv. Adv. To Participant,"$927,818",$0,"$927,818"
2,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Aon Consulting,Inc.","Consulting (pension), Other services, Direct payment from the plan",Consulting (Pension),"$124,653",$0,"$124,653"
3,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Newport Trust Company,"Investment management, Other services, Direct payment from the plan",Independent Fiduciary,"$118,458",$0,"$118,458"
4,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,KPMG LLP,"Accounting (including auditing), Direct payment from the plan",Plan Auditor,"$100,000",$0,"$100,000"
5,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Digital Documents, LLC","Direct payment from the plan, Other fees",Information Management,"$29,493",$0,"$29,493"
6,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Crowe LLP,"Accounting (including auditing), Consulting (general), Direct payment from the plan",Financial Statement Prep,"$11,897",$0,"$11,897"
7,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Jenner & Block LLP,"Legal, Direct payment from the plan",Legal,"$11,601",$0,"$11,601"
8,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Wealth Management Systems, Inc.",Other services,Automatic Rollover Prog,$0,$0,$0
9,General Dynamics Corporation,01/01/2018 — 12/31/2018,01/01/2007,"$5,267,992,425",49,Single Employer,No,Yes,Trust,Trust,"19,500",697,"9,585","29,782",202,"29,984","30,365","29,562",26,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Fidelity Inv. Inst. Ops. Co.,Other fees,Recordkeeper and Trustee,$0,$0,$0
