,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,State Street Bank & Trust,"Custodial (other than securities), Custodial (securities), Trustee (directed), Direct payment from the plan, Recordkeeping fees, Other fees",NONE,"$722,056",$0,"$722,056"
1,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Evercore Trust Company,"Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan",NONE,"$569,250",$0,"$569,250"
2,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Great-West Life & Annuity Ins Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Shareholder servicing fees, Sub-transfer agency fees, Other fees",NONE,"$481,859",$0,"$481,859"
3,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Duffs & Phelps,"Valuation (appraisals, etc.), Direct payment from the plan",NONE,"$240,376",$0,"$240,376"
4,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Kohlberg & Associates,"Consulting (general), Direct payment from the plan",NONE,"$34,519",$0,"$34,519"
5,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,"Rubinbrown, LLP","Accounting (including auditing), Direct payment from the plan",NONE,"$32,834",$0,"$32,834"
6,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Curcio Webb,Consulting (general),NONE,"$23,526",$0,"$23,526"
7,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,"Callan Associates, Inc.","Consulting (general), Investment management, Investment management fees paid indirectly by plan, Other investment fees and expenses",NONE,"$21,459",$0,"$21,459"
8,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Husch Blackwell,"Legal, Direct payment from the plan",NONE,"$11,375",$0,"$11,375"
9,Hallmark Cards Inc,01/01/2018 — 12/31/2018,12/31/1956,"$2,326,320,657",1,Single Employer,No,Yes,Trust,Trust,"5,891","1,200","2,004","9,095",88,"9,183","9,272","8,919",0,$0,$0,$0,$0,$0,$0,2501 Mcgee St ,Kansas City,MO,64141,(816) 274-3698,44-0272180,424100,Beth O'shaughnessy,Mary Colleen Meurer,Hallmark Benefit Plan Advisory Committee,2501 Mcgee Trafficway ,Kansas City,MA,64108,(816) 274-3698,43-1669047,Audited,Rubinbrown LLP,43-0765316,Unqualified,Full Audit,Total,Total,Total,"$2,137,254",$0,"$2,137,254"
