,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,T Rowe Price Stable Asset Mngmt Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$2,844,350",$0,"$2,844,350"
1,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Sub-transfer agency fees, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees",Recordkeeper,"$2,068,992",$0,"$2,068,992"
2,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Blackrock Institutional Trust Co.,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$1,768,556",$0,"$1,768,556"
3,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Brown Advisory,Investment advisory (participants),Investment Advisory,"$889,565",$0,"$889,565"
4,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Voya Institutional Plan Services,"Participant loan processing, Sub-transfer agency fees, Recordkeeping fees, Account maintenance fees",Recordkeeping,"$882,097",$0,"$882,097"
5,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Sands Captial Management,"Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$779,230",$0,"$779,230"
6,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$548,613",$0,"$548,613"
7,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Callan Associates,Consulting (general),Consulting,"$240,046",$0,"$240,046"
8,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,"Sidley Austin, LLP",Legal,Legal,"$206,892",$0,"$206,892"
9,Harris Corporation,01/01/2018 — 12/31/2018,06/30/1945,"$6,209,857,244",15,Single Employer,No,Yes,Trust,Trust,"17,340","1,852","12,207","31,399",144,"31,543","31,813","30,759",293,$0,$0,$0,$0,$0,$0,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,334200,Andrea Hartman,Harris Corporation Employee Benefits Committee,1025 West Nasa Blvd Mail Stop C-41I,Melbourne,FL,32919,(321) 724-3554,34-0276860,Audited,Buchbinder Tunick & Company LLP,13-1578842,Unqualified,Full Audit,Centrue Bank,Investment advisory (plan),Investment Manager,"$105,262",$0,"$105,262"
