,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,T Rowe Price Rps Inc,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Investment management, Securities brokerage, Participant loan processing, Participant communication, Other services, Direct payment from the plan, Investment management fees paid indirectly by plan, Other commissions, Redemption fees, Shareholder servicing fees, Float revenue, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees",NONE,"$1,545,000",$0,"$1,545,000"
1,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Invesco,"Investment management, Direct payment from the plan",NONE,"$327,000",$0,"$327,000"
2,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Formula Folio Investments LLC,"Investment advisory (participants), Direct payment from the plan",NONE,"$251,000",$0,"$251,000"
3,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Summit Strategies Inc,"Investment advisory (plan), Direct payment from the plan",NONE,"$95,000",$0,"$95,000"
4,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,"Charles Schwab & Co., Inc.","Securities brokerage, Direct payment from the plan, Shareholder servicing fees",NONE,"$35,000",$145,"$35,145"
5,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Flexible Plan Investments Ltd,"Investment advisory (participants), Direct payment from the plan",NONE,"$31,000",$0,"$31,000"
6,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,KPMG LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$27,000",$0,"$27,000"
7,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Stoel Rives LLP,"Legal, Direct payment from the plan",NONE,"$19,000",$0,"$19,000"
8,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Cannon Tingey Investment Advis,"Investment advisory (participants), Direct payment from the plan",NONE,"$14,000",$0,"$14,000"
9,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,07/01/1984,"$2,516,265,000",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"37,898",109,"11,553","49,560",160,"49,720","48,639","41,427","1,705",$0,$0,$0,$0,$0,$0,"36 S State St, 16th Floor ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,David K. Adams,Audited,KPMG LLP,13-5565207,Disclaimer,Limited Scope Audit,Dynamic Wealth Advisors,"Investment advisory (participants), Direct payment from the plan",NONE,"$13,000",$0,"$13,000"
