,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Statestreet,"Custodial (other than securities), Custodial (securities), Trustee (directed), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Float revenue, Other insurance wrap fees, Other fees",Party-In-Interest,"$7,152,535",$0,"$7,152,535"
1,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Metropolitan Life Insurance Company,Other insurance fees and expenses,Party-In-Interest,"$5,553,996",$0,"$5,553,996"
2,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Prudential Insurance Company,"Investment management fees paid directly by plan, Other insurance wrap fees",Party-In-Interest,"$5,034,459",$0,"$5,034,459"
3,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pimco,"Investment management fees paid directly by plan, Other fees",Party-In-Interest,"$4,259,765",$0,"$4,259,765"
4,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Rbc Capital Markets,Other insurance wrap fees,Party-In-Interest,"$4,182,225",$0,"$4,182,225"
5,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Bridgewater,Investment management fees paid directly by plan,Party-In-Interest,"$2,634,859",$0,"$2,634,859"
6,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Vanguard,Investment management fees paid directly by plan,Party-In-Interest,"$2,572,762",$0,"$2,572,762"
7,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,New York Life Insurance Company,"Investment management fees paid directly by plan, Other insurance wrap fees",Party-In-Interest,"$2,567,471",$0,"$2,567,471"
8,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Recordkeeping fees, Other fees, Direct payment from the plan, Account maintenance fees, Sub-transfer agency fees, Other services",Party-In-Interest,"$1,969,336",$0,"$1,969,336"
9,International Business Machines Corporation,01/01/2018 — 12/31/2018,07/01/1983,"$48,760,957,884",5,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"73,349","22,081","87,877","183,307",387,"183,694","188,541","181,381",0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Blackrock Financial Management,Investment management fees paid directly by plan,Party-In-Interest,"$1,936,038",$0,"$1,936,038"
