,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,Great-West Life & Annuity Ins Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Recordkeeping fees",NONE,"$2,026,572",$0,"$2,026,572"
1,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Advised Asset Group, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$471,711",$0,"$471,711"
2,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Winslow Capital Mgmt, Inc","Investment management, Investment management fees paid directly by plan",NONE,"$431,251",$0,"$431,251"
3,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,Frontier Capital Management Co LLC,"Investment management, Direct payment from the plan",NONE,"$418,519",$0,"$418,519"
4,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",NONE,"$378,852",$0,"$378,852"
5,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Arrowstreet Capital, Lp",Investment management,NONE,"$333,553",$0,"$333,553"
6,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Aronson & Johnson & Ortiz, Lp",Investment management,NONE,"$211,581",$0,"$211,581"
7,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,Jpmorgan Chase Bank,Investment management,NONE,"$130,000",$0,"$130,000"
8,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Mercer Investment Management, Inc",Investment advisory (plan),NONE,"$130,000",$0,"$130,000"
9,LSC Communications US  LLC,01/01/2018 — 12/31/2018,09/02/2016,"$1,062,423,669",1,Single Employer,No,Yes,Trust,Trust,"18,729",568,"4,528","23,825",52,"23,877","23,261","20,998",1,$0,$0,$0,$0,$0,$0,191 N. Wacker Dr Suite 1400 ,Chicago,IL,60606,(312) 272-9202,37-1804157,323100,Katherine Ege,Audited,"Baker Tilly Virchow Krause, LLP",39-0859910,Disclaimer,Limited Scope Audit,"Mercer Investment Consulting, Inc",Investment advisory (plan),NONE,"$75,000",$0,"$75,000"
