,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,"Financial Engines Advisors, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$1,991,336",$0,"$1,991,336"
1,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Fid Mgmt Trust Co,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$1,603,117",$0,"$1,603,117"
2,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Pacific Investment Management Co,"Investment management, Investment management fees paid directly by plan",NONE,"$1,218,831",$0,"$1,218,831"
3,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Eaton Vance,"Investment management, Investment management fees paid directly by plan",NONE,"$893,068",$0,"$893,068"
4,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Baillie Gifford Overseas Limited,"Investment management, Investment management fees paid directly by plan",NONE,"$669,439",$0,"$669,439"
5,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$643,013",$0,"$643,013"
6,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Morgan Stanley Investment Mgt Ltd,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$607,172",$0,"$607,172"
7,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Peregrine Capital Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$569,334",$0,"$569,334"
8,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Westfield Capital Management Compan,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$454,745",$0,"$454,745"
9,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,"Strategic Advisors, Inc.","Investment advisory (plan), Direct payment from the plan",NONE,"$435,779",$0,"$435,779"
10,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Other fees",NONE,"$426,246",$0,"$426,246"
11,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Artisan Partners Ltd Partnership,"Investment management, Investment management fees paid directly by plan, Non-monetary compensation, Soft dollars commissions",NONE,"$403,535",$0,"$403,535"
12,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,01/01/1975,"$7,003,227,627",2,Single Employer,No,Yes,Trust,Trust,"35,207","1,156","15,143","51,506",83,"51,589","63,135","50,508",883,$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Audited,Daniel Dennis & Company LLP,04-2734675,Unqualified,Full Audit,Sterling Capital Management LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$398,893",$0,"$398,893"
