,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,"T. Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,430,408",$0,"$2,430,408"
1,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,"William Blair Investment Mgmt, LLC","Investment management fees paid directly by plan, Soft dollars commissions, Investment management",NONE,"$1,535,865",$0,"$1,535,865"
2,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Rice Hall James & Assoc. LLC,"Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$1,286,980",$0,"$1,286,980"
3,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Artisan Partners,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,209,830",$0,"$1,209,830"
4,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Fidelity Institutional Asset Mgmt,"Investment management, Other services, Investment management fees paid directly by plan, Soft dollars commissions, Other fees",NONE,"$1,170,857",$0,"$1,170,857"
5,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Voya Investment Management Co. LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,079,496",$0,"$1,079,496"
6,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Aqr Capital Management,"Investment management, Investment management fees paid directly by plan",NONE,"$993,995",$0,"$993,995"
7,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Pacific Investment Mgmt Co LLC,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$918,740",$0,"$918,740"
8,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,"Wellington Trust Company, Na","Investment management fees paid indirectly by plan, Investment management",NONE,$0,"$773,736","$773,736"
9,MORGAN STANLEY DOMESTIC HOLDINGS  INC.,01/01/2018 — 12/31/2018,09/01/1971,"$10,195,822,009",3,Single Employer,No,Yes,Trust,Trust,"42,187",0,"19,283","61,470",314,"61,784","60,836","60,964","1,112",$0,$0,$0,$0,$0,$0,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-4550,20-8764829,523900,Michael Eisner,Adam Kudelka,Morgan Stanley,"1585 Broadway, 18th Floor Attn Benefits Department",New York,NY,10036,(212) 761-9494,81-0663617,Audited,Crowe LLP,35-0921680,Unqualified,Full Audit,Blackrock Institutional Trust Co.,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$641,284",$0,"$641,284"
