,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Massachusetts Mutual Life Insurance,"Investment management fees paid indirectly by plan, Sub-transfer agency fees, Recordkeeping fees, Soft dollars commissions, Other investment fees and expenses",Contract Administrator,"$907,214",$0,"$907,214"
1,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,"Kpmg, LLP","Accounting (including auditing), Direct payment from the plan",Auditor,"$33,139",$0,"$33,139"
2,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Vanguard,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
3,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Vanguard,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
4,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Vanguard,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
5,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Oppenheimer,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
6,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Oppenheimer,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
7,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Pimco Funds,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
8,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Northern Investments,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
9,Massachusetts Mutual Life Insurance Company,01/01/2018 — 12/31/2018,07/01/1974,"$2,831,042,432",4,Single Employer,No,Yes,InsuranceTrust,Insurance,"18,083",730,"5,850","24,663",12,"24,675","24,087","23,131",450,$0,$0,$0,$0,$0,$0,"1295 State Street, F105 ",Springfield,MA,01111-0001,(617) 695-4607,04-1590850,524140,Charlene Dodd,Plan Administrative Committee,"1295 State Street, F105 ",Springfield,MA,01111-0001,(413) 744-4407,55-0915954,Audited,"Kpmg, LLP",13-5565207,Unqualified,Full Audit,Total,Total,Total,"$940,353",$0,"$940,353"
