,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Northern Trust Company,"Custodial (securities), Trustee (directed), Trustee (bank, trust company, or similar financial institution), Investment management, Securities brokerage commissions and fees, Other investment fees and expenses, Accounting (including auditing), Valuation (appraisals, etc.), Soft dollars commissions, Investment management fees paid directly by plan",NONE,"$1,225,845",$0,"$1,225,845"
1,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Dodge & Cox,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$834,003",$0,"$834,003"
2,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Fid Inv Inst Ops Co,"Participant loan processing, Recordkeeping fees, Account maintenance fees, Direct payment from the plan",NONE,"$776,815",$0,"$776,815"
3,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,T.Rowe Price Stable Asset Mgmt Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$701,789",$0,"$701,789"
4,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,J.P. Morgan Fleming Asset Mgt Inc.,"Investment management, Investment advisory (plan), Investment management fees paid directly by plan",NONE,"$625,786",$0,"$625,786"
5,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Nisa Investment Advisors LLC,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$522,586",$0,"$522,586"
6,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,"Hotchkis and Wiley Capital Mgt, LLC","Investment management, Investment advisory (plan), Investment management fees paid directly by plan, Securities brokerage commissions and fees, Soft dollars commissions",NONE,"$414,844",$0,"$414,844"
7,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,"Templeton Investment Counsel, LLC","Investment management fees paid directly by plan, Soft dollars commissions, Direct payment from the plan",NONE,"$367,266",$0,"$367,266"
8,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Prudential Insurance Company,"Investment management, Investment management fees paid directly by plan, Direct payment from the plan",NONE,"$325,093",$0,"$325,093"
9,Monsanto Company,01/01/2018 — 12/31/2018,07/01/2001,"$3,428,257,263",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"11,062",669,"4,427","16,158",62,"16,220","16,366","16,033",41,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Audited,Deloitte & Touche,13-3891517,Unqualified,Full Audit,Jennison Associates LLC,"Investment management, Investment advisory (plan), Soft dollars commissions, Securities brokerage commissions and fees, Direct payment from the plan",NONE,"$263,646",$0,"$263,646"
