,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Fid Inv Inst Ops Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Direct payment from the plan, Recordkeeping fees, Account maintenance fees",Recordkeeper,"$715,724",$0,"$715,724"
1,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Blackrock International Limited,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$274,106",$0,"$274,106"
2,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Fid Mgmt Trust Co,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$165,500",$0,"$165,500"
3,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Fid Inst Asset Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$147,808",$0,"$147,808"
4,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Axiom International Investors LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$143,109",$0,"$143,109"
5,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Lsv Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$138,178",$0,"$138,178"
6,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Wells Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$137,774",$0,"$137,774"
7,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Brc Investment Mgt LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$121,469",$0,"$121,469"
8,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Financial Engines,"Investment advisory (plan), Direct payment from the plan",NONE,"$108,727",$0,"$108,727"
9,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Northern Trust Investments Na,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$62,280",$0,"$62,280"
10,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Aon Hewitt,"Consulting (pension), Direct payment from the plan",NONE,"$60,000",$0,"$60,000"
11,NCR Corporation,01/01/2018 — 12/31/2018,05/01/1985,"$1,382,756,973",52,Single Employer,Yes,Yes,Trust,Trust,"9,083",279,"4,348","13,710",63,"13,773","13,968","13,085",456,$0,$0,$0,$0,$0,$0,864 Spring St NW ,Atlanta,GA,30308,(937) 445-5000,31-0387920,334110,Farzad Jalil,Audited,"Carr, Riggs & Ingram LLC",72-1396621,Disclaimer,Limited Scope Audit,Total,Total,Total,"$2,074,675",$0,"$2,074,675"
