,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Services Management Corporation,"Contract Administrator, Direct payment from the plan",Subsidiary of Ntca,"$1,712,613",$0,"$1,712,613"
1,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,J.P. Morgan Investment Management I,"Investment management, Investment advisory (plan)",NONE,"$646,962",$0,"$646,962"
2,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Groom Law Group,"Legal, Direct payment from the plan",NONE,"$99,057",$0,"$99,057"
3,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$52,751",$0,"$52,751"
4,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Wilshire Associates,"Investment advisory (plan), Direct payment from the plan",NONE,"$45,000",$0,"$45,000"
5,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Allegra,"Copying and duplicating, Direct payment from the plan",NONE,"$22,690",$0,"$22,690"
6,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,"Cliftonlarsonallen, LLP","Accounting (including auditing), Direct payment from the plan",NONE,"$21,440",$0,"$21,440"
7,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Bank of America,"Account maintenance fees, Direct payment from the plan, Other services",NONE,"$11,568",$0,"$11,568"
8,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Fidelity,"Investment management, Investment advisory (plan)",,$0,$0,$0
9,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1972,"$2,003,994,782",334,Multiple Employer,Yes,Yes,Trust,Trust,"20,601",347,"4,519","25,467",50,"25,517","25,119","20,679",0,$0,$0,$0,$0,$0,$0,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-0741336,517000,"Peter Perretti, Director of Savings",Ntca Retirement & Security/Savings Plan Trust Committee,4121 Wilson Blvd. 10th Floor,Arlington,VA,22203,(703) 351-2000,52-1522857,Audited,Clifton Larson Allen,47-0746749,Unqualified,Full Audit,Total,Total,Total,"$2,612,081",$0,"$2,612,081"
