,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Fid Inv Inst Ops Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Direct payment from the plan, Recordkeeping fees, Account maintenance fees",Recordkeeper,"$2,894,496",$0,"$2,894,496"
1,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Ofi Global Trust Company,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$1,494,031",$0,"$1,494,031"
2,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,T. Rowe Price,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$987,766",$0,"$987,766"
3,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,The Northern Trust Company,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$670,026","$171,076","$841,102"
4,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,State Street Bank and Trust Co,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$575,046",$0,"$575,046"
5,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Sei Investments Co,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$485,481",$0,"$485,481"
6,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,Prudential Ins Co of America,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$438,230",$0,"$438,230"
7,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,American General Life Ins Co,"Investment management, Investment management fees paid directly by plan",Inv Mgmt,"$375,826",$0,"$375,826"
8,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,"Jp Morgan Chase Bank, N.A.","Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$320,892",$0,"$320,892"
9,Pfizer Inc.,01/01/2018 — 12/31/2018,07/01/1965,"$14,063,078,504",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,920","1,522","23,176","53,618",210,"53,828","50,678","53,645",429,$0,$0,$0,$0,$0,$0,100 Route 206 North ,Peapack,NJ,07977-0000,(908) 901-8000,13-5315170,325410,Stephen Pennacchio,The Savings Plan Committee,100 Route 206 North ,Peapack,NJ,07977,(908) 901-8000,13-2875255,Audited,KPMG LLP,13-5565207,Unqualified,Full Audit,New York Life Insurance Company,"Investment management, Investment management fees paid directly by plan",Inv. Mgmt,"$313,011",$0,"$313,011"
