,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Massachusetts Mutual Life Ins. Co.,"Other services, Investment management fees paid indirectly by plan, Sub-transfer agency fees, Recordkeeping fees, Other investment fees and expenses",Contract Administrator,"$1,895,135",$0,"$1,895,135"
1,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Bny Mellon,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
2,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,CRM,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
3,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Dodge & Cox,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
4,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Eaton Vance,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
5,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Morley Financial Services Inc,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
6,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Pimco Funds,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
7,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Pioneer,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
8,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Sei Investments Company,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
9,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,Sei Investments Company,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
10,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
11,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
12,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
13,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
14,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
15,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
16,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
17,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
18,REGIONS FINANCIAL CORPORATION,01/01/2018 — 12/31/2018,01/01/1973,"$1,739,363,040",12,Single Employer,No,Yes,Trust,Trust,"21,278",36,"8,090","29,404",14,"29,418","30,904","28,583",0,$0,$0,$0,$0,$0,$0,1900 5th Avenue North Albh118805B,Brimingham,AL,35203,(877) 562-8383,63-0589368,522110,Chris Glaub,Chris Glaub,Audited,Ernst & Young,34-6565596,Unqualified,Full Audit,T. Rowe Price,Investment management fees paid indirectly by plan,Investment Provider,$0,$0,$0
