,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Silicon Valley Bank,"Investment management, Direct payment from the plan",NONE,"$1,734,822",$0,"$1,734,822"
1,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Cambridge Investment Research,"Investment advisory (participants), Direct payment from the plan",NONE,"$747,475",$0,"$747,475"
2,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Boston Partner,"Investment management, Direct payment from the plan",NONE,"$723,682",$0,"$723,682"
3,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Standish Mellon Asset Management,"Investment advisory (participants), Direct payment from the plan",NONE,"$284,134",$0,"$284,134"
4,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,T Rowe Price Associate,"Investment management, Direct payment from the plan",NONE,"$258,415",$0,"$258,415"
5,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,"Charles Schwab & Co., Inc.","Securities brokerage, Float revenue, Direct payment from the plan, Securities brokerage commissions and fees, Other investment fees and expenses, Shareholder servicing fees",NONE,"$253,765",$0,"$253,765"
6,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Janus Capital Management,"Investment management, Direct payment from the plan",NONE,"$251,810",$0,"$251,810"
7,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Schwab Retirement Plan Services Inc,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Recordkeeping fees",NONE,"$237,298",$0,"$237,298"
8,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Fidelity Inst Asset Management LLC,"Investment management, Direct payment from the plan",NONE,"$206,050",$0,"$206,050"
9,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Cliftonlarsonallen,"Investment advisory (participants), Direct payment from the plan",NONE,"$136,350",$0,"$136,350"
10,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Stratos Wealth Partners Ltd,"Investment advisory (participants), Direct payment from the plan",NONE,"$128,575",$0,"$128,575"
11,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Signature Estate & Investment,"Investment advisory (participants), Direct payment from the plan",NONE,"$75,719",$0,"$75,719"
12,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Fisher Investments,"Investment advisory (participants), Direct payment from the plan",NONE,"$58,404",$0,"$58,404"
13,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Flexible Plan Investments Ltd,"Investment advisory (participants), Direct payment from the plan",NONE,"$40,000",$0,"$40,000"
14,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Dowling & Yahnke LLC,"Investment advisory (participants), Direct payment from the plan",NONE,"$35,611",$0,"$35,611"
15,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Symmetry Partners,"Investment advisory (participants), Direct payment from the plan",NONE,"$35,334",$0,"$35,334"
16,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,"Cambiar Investors, LLC","Investment management, Direct payment from the plan",NONE,"$32,884",$0,"$32,884"
17,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Pure Financial Advisors Inc,"Investment advisory (participants), Direct payment from the plan",NONE,"$28,188",$0,"$28,188"
18,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Independent Financial Group LLC,"Investment advisory (participants), Direct payment from the plan",NONE,"$24,245",$0,"$24,245"
19,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Cls Investments LLC,"Investment advisory (participants), Direct payment from the plan",NONE,"$20,131",$0,"$20,131"
20,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,01/01/2018 — 12/31/2018,01/01/1973,"$3,818,989,225",8,Single Employer,No,Yes,Trust,Trust,"9,221",0,858,"10,079",18,"10,097","9,703","6,997",0,$0,$0,$0,$0,$0,$0,393 E Walnut Street ,Pasadena,CA,91188-0001,(626) 405-3288,95-1750445,621111,Anne Lurch,Kathleen Pomeroy,Audited,"Ernst & Young, LLP",34-6565596,Disclaimer,Limited Scope Audit,Check Capital Management Inc,"Investment advisory (participants), Direct payment from the plan",NONE,"$19,850",$0,"$19,850"
