,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,"Financial Engines,Inc","Investment advisory (plan), Direct payment from the plan",NONE,"$5,248,979",$0,"$5,248,979"
1,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Fidelity Investments Institutional,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant communication, Direct payment from the plan, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees",NONE,"$1,419,297","$3,682,803","$5,102,100"
2,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Blackrock Institutional Trust Compa,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Valuation (appraisals, etc.)",NONE,"$1,523,296","$2,130,551","$3,653,847"
3,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Fidelity Institutional Asset Mgmt,"Investment management, Investment management fees paid directly by plan",NONE,"$1,088,402",$0,"$1,088,402"
4,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Fidelity Management Trust Company,"Investment management, Investment management fees paid directly by plan",NONE,"$350,742",$0,"$350,742"
5,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,E. Perry,"Employee (plan sponsor), Direct payment from the plan",Employee,"$140,900",$0,"$140,900"
6,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Ernst& Young LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$137,000",$0,"$137,000"
7,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,T. Browning,"Employee (plan sponsor), Direct payment from the plan",Employee,"$97,169",$0,"$97,169"
8,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,S. Griffith,"Employee (plan sponsor), Direct payment from the plan",Employee,"$56,449",$0,"$56,449"
9,Shell Oil Company,01/01/2018 — 12/31/2018,09/01/1939,"$10,099,929,363",2,Single Employer,No,Yes,Trust,Trust,"16,876","2,793","13,397","33,066",388,"33,454","34,367","33,372",0,$0,$0,$0,$0,$0,$0,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Provident Fund,P. O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865496,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,M. Brooks,"Employee (plan sponsor), Direct payment from the plan",Employee,"$49,468",$0,"$49,468"
