,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,"Advised Assets Group, LLC","Investment advisory (participants), Direct payment from the plan",NONE,"$926,266",$0,"$926,266"
1,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Great-West Life & Annuity Ins. Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Recordkeeping fees",NONE,"$870,384",$0,"$870,384"
2,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,T Rowe Price Associates,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$734,112",$0,"$734,112"
3,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Prudential Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$672,002",$0,"$672,002"
4,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Blackrock Instl Trus Co.,"Consulting (general), Investment advisory (plan), Direct payment from the plan",NONE,"$670,364",$0,"$670,364"
5,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Altrinsic Global Advisors LLC,"Consulting (general), Investment advisory (plan), Direct payment from the plan",NONE,"$575,001",$0,"$575,001"
6,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Other fees",NONE,"$465,170",$0,"$465,170"
7,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,State Street Global Advisors,"Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$164,434",$0,"$164,434"
8,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Towers Watson & Co,"Consulting (general), Investment advisory (plan), Direct payment from the plan",NONE,"$93,000",$0,"$93,000"
9,Sony Corporation of America,01/01/2018 — 12/31/2018,01/01/1984,"$3,263,623,937",2,Single Employer,No,Yes,Trust,Trust,"11,652",473,"11,628","23,753",75,"23,828","24,051","23,348",0,$0,$0,$0,$0,$0,$0,25 Madison Avenue ,New York,NY,10010,(212) 833-7461,13-1914734,551112,Marla Trugerman,Audited,Pricewaterhousecoopers LLP,13-4008324,Disclaimer,Limited Scope Audit,Crowe LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$67,500",$0,"$67,500"
