,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Financial Engines,"Investment advisory (participants), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Advisor,"$2,286,128",$0,"$2,286,128"
1,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Blackrock,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgmt,"$433,895","$840,366","$1,274,261"
2,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Loomis Sayles & Company Lp,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Mgmt,"$1,039,719","$12,599","$1,052,318"
3,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,"T. Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Mgmt,"$685,544",$0,"$685,544"
4,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,"Conduent Hr Services, LLC","Claims processing, Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Participant communication, Recordkeeping fees, Other fees",Recordkeeper,$0,"$653,872","$653,872"
5,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Jackson Square Partners,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Mgmt,"$410,494",$0,"$410,494"
6,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,"Ajo, L.P.","Investment management, Investment management fees paid directly by plan",Investment Mgmt,"$402,735",$0,"$402,735"
7,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Alliance Bernstein,"Investment advisory (plan), Investment management fees paid directly by plan",Investment Advisor,"$396,197",$0,"$396,197"
8,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Pimco,"Investment management, Investment management fees paid directly by plan",Investment Mgmt,"$256,043",$0,"$256,043"
9,Southern California Edison Company,01/01/2018 — 12/31/2018,01/01/1964,"$3,988,638,851",2,Single Employer,Yes,Yes,Trust,Trust,"12,668",82,"3,763","16,513",71,"16,584","16,766","16,236",143,$0,$0,$0,$0,$0,$0,P O Box 800 2244 Walnut Grove Ave.,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company,Benefits Committee 2244 Walnut Grove Ave,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Charles Schwab,"Direct payment from the plan, Investment management fees paid indirectly by plan, Shareholder servicing fees, Securities brokerage commissions and fees",Securities Brokerage Com,"$243,496",$0,"$243,496"
