,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,"Alight Financial Advisors, LLC","Investment advisory (participants), Investment management, Direct payment from the plan",NONE,"$2,218,477",$0,"$2,218,477"
1,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Other fees",NONE,"$1,687,588",$0,"$1,687,588"
2,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,State Street Global Advisor Trst Co,"Custodial (other than securities), Custodial (securities), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$691,166",$0,"$691,166"
3,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Invesco Advisors Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other fees",NONE,"$488,221",$0,"$488,221"
4,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,"Northern Trust Investments, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$391,155",$0,"$391,155"
5,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$324,386",$0,"$324,386"
6,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Allstate Insurance Company,"Plan Administrator, Participant communication, Direct payment from the plan",Employer,"$174,112",$0,"$174,112"
7,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Deloitte & Touche LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$90,483",$0,"$90,483"
8,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Mercer Consulting,"Participant communication, Direct payment from the plan",NONE,"$6,998",$0,"$6,998"
9,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,06/30/1995,"$4,956,557,244",1,Single Employer,No,Yes,Trust,Trust,"38,205",0,"12,076","50,281",207,"50,488","49,019","44,781","1,279",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,551112,Lisa Hopson,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,32-0501872,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Total,Total,Total,"$6,072,586",$0,"$6,072,586"
