,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Financial Engines,Investment advisory (plan),Investment Advisor,"$2,157,168",$0,"$2,157,168"
1,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees",Recordkeeper,"$350,735",$0,"$350,735"
2,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Eagle West,"Investment advisory (participants), Other fees",Investment Advisor,"$149,910",$0,"$149,910"
3,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Gemmer Asset Management,"Investment advisory (participants), Investment advisory (plan)",Investment Advisor,"$64,793",$0,"$64,793"
4,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Capital Advantage,"Consulting (general), Investment advisory (participants)",Investment Advisor,"$55,066",$0,"$55,066"
5,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Rand & Associates,Investment advisory (participants),Investment Advisor,"$12,759",$0,"$12,759"
6,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Cambridge Investment Research Inc,Investment advisory (participants),Investment Advisor,"$11,366",$0,"$11,366"
7,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,UCP,"Investment advisory (participants), Investment advisory (plan)",Investment Advisor,"$8,570",$0,"$8,570"
8,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,We Alliance Wealth Advisors,"Investment advisory (participants), Investment advisory (plan)",Investment Advisor,"$8,439",$0,"$8,439"
9,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Christopher Weil & Company,Other services,Other Services,"$8,386",$0,"$8,386"
10,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Whelan Financial,Investment advisory (participants),Investment Advisor,"$5,049",$0,"$5,049"
11,The Permanente Medical Group  Inc.,01/01/2018 — 12/31/2018,01/02/1982,"$4,789,406,832",13,Single Employer,No,Yes,Trust,Trust,"18,256",469,"5,164","23,889",0,"23,889","23,141","23,273",0,$0,$0,$0,$0,$0,$0,1800 Harrison St. 7th Floor ,Oakland,CA,94612-5103,(510) 625-4102,94-2728480,621112,Joanne Arneal,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Total,Total,Total,"$2,832,241",$0,"$2,832,241"
