,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Financial Engines,Investment advisory (plan),Advisor,"$1,417,592",$0,"$1,417,592"
1,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Key Private Bank,Investment advisory (participants),Investment Advisor,"$812,740",$0,"$812,740"
2,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Cls Investments LLC,Investment advisory (participants),Investment Advisor,"$301,905",$0,"$301,905"
3,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,The Cleveland Clinic Foundation,Consulting (general),Plan Administrator,"$195,701",$0,"$195,701"
4,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Beacon Financial Advisors, LLC",Investment advisory (participants),Investment Advisor,"$190,254",$0,"$190,254"
5,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Strategic Wealth Partners,Investment advisory (participants),Investment Advisor,"$176,123",$0,"$176,123"
6,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Potomac Fund Management, Inc.",Investment advisory (participants),Investment Advisor,"$106,866",$0,"$106,866"
7,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Larson Financial Group, LLC",Investment advisory (participants),Investment Advisor,"$86,217",$0,"$86,217"
8,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Stratos Wealth Partners,Investment advisory (participants),Investment Advisor,"$76,547",$0,"$76,547"
9,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Securities America Advisors, I",Investment advisory (participants),Investment Advisor,"$68,496",$0,"$68,496"
10,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Wealthtrust Fairport, LLC",Investment advisory (participants),Investment Advisor,"$50,626",$0,"$50,626"
11,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Sequoia Financial Advisors,Investment advisory (participants),Investment Advisor,"$50,619",$0,"$50,619"
12,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Lineweaver Wealth Advisors LLC,Investment advisory (participants),Investment Advisor,"$48,461",$0,"$48,461"
13,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Carnegie Investment Counsel,Investment advisory (participants),Investment Advisor,"$47,927",$0,"$47,927"
14,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,"Arbor Point Advisors, LLC",Investment advisory (participants),Investment Advisor,"$34,142",$0,"$34,142"
15,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Flexible Plan Investments,Investment advisory (participants),Investment Advisor,"$27,411",$0,"$27,411"
16,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Hill Financial,Investment advisory (participants),Investment Advisor,"$25,710",$0,"$25,710"
17,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,B Riley Wealth Management,Investment advisory (participants),Investment Advisor,"$21,484",$0,"$21,484"
18,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1971,"$4,431,179,729",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"48,257",505,"11,030","59,792",60,"59,852","57,834","56,102","3,089",$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Audited,Mayer Hoffman Mccann Pc,43-1947695,Disclaimer,Limited Scope Audit,Elios Financial Group Inc,Investment advisory (participants),Investment Advisor,"$18,407",$0,"$18,407"
