,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Wellington Management Company LLP,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,879,073",$0,"$2,879,073"
1,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Victory Capital,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,893,730",$0,"$1,893,730"
2,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Maverick Capital Ltd,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,303,992",$0,"$1,303,992"
3,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Blackrock Inst Tr Company Na,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,067,502",$0,"$1,067,502"
4,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Diamond Hill Capital Management Inc,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,064,901",$0,"$1,064,901"
5,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Harding Loevner Lp,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$918,178",$0,"$918,178"
6,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Centersquare Investment Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$900,253",$0,"$900,253"
7,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Artisan Partners Ltd. Partnership,"Investment management, Soft dollars commissions, Investment management fees paid directly by plan",NONE,"$813,164",$0,"$813,164"
8,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"T. Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$766,498",$0,"$766,498"
9,The Goldman Sachs Group  Inc.,01/01/2018 — 12/31/2018,01/01/1945,"$6,988,956,588",1,Single Employer,No,Yes,Trust,Trust,"18,117",134,"19,245","37,496",123,"37,619","35,270","36,275",0,$0,$0,$0,$0,$0,$0,200 West Street ,New York,NY,10282,(917) 343-8989,13-4019460,523110,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pimco,"Investment management, Investment management fees paid directly by plan",NONE,"$739,239",$0,"$739,239"
