,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Transamerica Retirement Solutions,"Claims processing, Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment management, Participant loan processing, Participant communication, Direct payment from the plan, Sales loads (front end and deferred), Shareholder servicing fees, Distribution (12b-1) fees, Recordkeeping fees, Account maintenance fees",Recordkeeper,"$906,962",$0,"$906,962"
1,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,"Zenith American Solutions,Inc",Contract Administrator,NONE,"$134,544",$0,"$134,544"
2,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Morgan Stanley Wealth Mgmt,Investment management,NONE,"$72,000",$0,"$72,000"
3,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,"Daniel A. Winters & Company, CPAS",Accounting (including auditing),NONE,"$51,322",$0,"$51,322"
4,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Cleary & Josem LLP,Legal,NONE,"$47,153",$0,"$47,153"
5,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Employee A,Employee (plan),NONE,"$42,204",$0,"$42,204"
6,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Steamfitters Lu 420 Building Fund,Other fees,Union Affiliate,"$20,991",$0,"$20,991"
7,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,Kang Haggerty & Fetbroyt,Legal,NONE,"$15,780",$0,"$15,780"
8,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,"J. A Mariano Agency, Inc Total",Insurance agents and brokers,NONE,$0,"$6,894","$6,894"
9,Trustees Of The University Of Pennsylvania,01/01/2018 — 12/31/2018,01/01/1988,"$454,832,387",2,Multi-Employer,Yes,Yes,InsuranceTrust,Trust,"3,897",293,"2,029","6,219",98,"6,317","5,976","6,317",0,$0,$0,$0,$0,$0,$0,"14420 Townsend Road, Suite B ",Philadelphia,PA,19154-1028,(267) 350-2600,23-2495379,238220,Robert Winther,Audited,"Daniel A. Winters & Company, CPAS",23-2586736,Unqualified,Full Audit,D&W Technologies,Other services,NONE,"$5,179",$0,"$5,179"
