,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,Wellington Management Co. LLP,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$997,797",$0,"$997,797"
1,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,"Northwest Plan Services, Inc.","Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Participant communication, Direct payment from the plan, Recordkeeping fees, Account maintenance fees",NONE,"$971,135",$0,"$971,135"
2,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,"Arrowstreet Capital, L.P.","Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$701,111",$0,"$701,111"
3,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Recordkeeping fees",NONE,"$497,348",$0,"$497,348"
4,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,Western Asset Management Company,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$259,586",$0,"$259,586"
5,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,"Strategic Benefits Advisors, Inc","Actuarial, Consulting (pension), Investment advisory (plan), Direct payment from the plan",NONE,"$78,217",$0,"$78,217"
6,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,Towers Watson Inv Service Inc,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$71,409",$0,"$71,409"
7,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,"Smith Communication Partners, Inc.","Participant communication, Direct payment from the plan",NONE,"$63,202",$0,"$63,202"
8,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,Morgan Lewis & Bockius LLP,"Legal, Direct payment from the plan",NONE,"$42,679",$0,"$42,679"
9,Tyco Electronics Corporation,01/01/2018 — 12/31/2018,10/01/1976,"$2,217,928,480",8,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,350",1,"7,243","17,594",85,"17,679","18,446","17,306",194,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2042,23-0332575,335900,Dave Merkt,Audited,Cliftonlarsonallen,41-0746749,Disclaimer,Limited Scope Audit,"Jellyvision Lab, Inc.","Participant communication, Direct payment from the plan",NONE,"$42,000",$0,"$42,000"
