,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Kms Financial Services Inc,"Investment advisory (participants), Direct payment from the plan",NONE,"$2,576,675",$0,"$2,576,675"
1,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Sands Capital Management,"Investment management, Direct payment from the plan",NONE,"$2,025,930",$0,"$2,025,930"
2,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Elk Creek Partners LLC,"Investment management, Direct payment from the plan",NONE,"$1,476,396",$0,"$1,476,396"
3,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Snyder Capital Management,"Investment management, Direct payment from the plan",NONE,"$1,321,044",$0,"$1,321,044"
4,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,T Rowe Price Associates,"Investment management, Direct payment from the plan",NONE,"$1,297,559",$0,"$1,297,559"
5,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,"Charles Schwab & Co., Inc.","Securities brokerage, Direct payment from the plan, Shareholder servicing fees, Float revenue, Securities brokerage commissions and fees, Other investment fees and expenses",NONE,"$1,251,505",$498,"$1,252,003"
6,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Nwq Investmnet Management Company,"Investment management, Direct payment from the plan",NONE,"$994,261",$0,"$994,261"
7,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Westwood Management Corp,"Investment management, Direct payment from the plan",NONE,"$960,204",$0,"$960,204"
8,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Johnson Wealth Inc,"Investment advisory (participants), Direct payment from the plan",NONE,"$917,474",$0,"$917,474"
9,United Airlines  Inc.,01/01/2018 — 12/31/2018,09/01/2005,"$8,677,226,892",202,Single Employer,Yes,Yes,Trust,Trust,"12,541",528,"1,000","14,069",121,"14,190","14,111","14,042",0,$0,$0,$0,$0,$0,$0,"233 S. Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,481000,F. Rainier Villatuya,"United Airlines, Inc. Administrative Committee","233 S.Wacker, Suite 2500 ",Chicago,IL,60606,(877) 825-3729,74-2099724,Audited,Mitchell & Titus,13-2781641,Disclaimer,Limited Scope Audit,Total Investment Management In,"Investment advisory (participants), Direct payment from the plan",NONE,"$833,912",$0,"$833,912"
