,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Fidelity Investments Institutional,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (bank, trust company, or similar financial institution), Participant loan processing, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees, Direct payment from the plan",Recordkeeper,"$885,365",$0,"$885,365"
1,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Financial Engines,"Investment advisory (plan), Direct payment from the plan",Advisor,"$501,582",$0,"$501,582"
2,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Pepper Hamilton LLP,"Legal, Direct payment from the plan",Attorney/Legal,"$175,012",$0,"$175,012"
3,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Seyfarth Shaw LLP,"Legal, Direct payment from the plan",Attorney/Legal,"$119,320",$0,"$119,320"
4,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,State Street Global Advisors,"Other services, Direct payment from the plan",Other Services,"$100,000",$0,"$100,000"
5,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Aon Hewitt Investment Consulting,"Investment advisory (plan), Direct payment from the plan",Investment Advisor,"$50,000",$0,"$50,000"
6,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,"Aon Consulting, Inc.","Investment advisory (plan), Direct payment from the plan",Investmrnt Advisor,"$50,000",$0,"$50,000"
7,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Mercer,"Consulting (general), Participant communication, Direct payment from the plan",Consultant,"$42,391",$0,"$42,391"
8,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,"Plante & Moran, PLLC","Accounting (including auditing), Direct payment from the plan",Accountant/Auditor,"$40,667",$0,"$40,667"
9,VF Corporation,01/01/2018 — 12/31/2018,01/01/1985,"$1,029,485,171",2,Single Employer,No,Yes,Trust,Trust,"17,319",122,"5,962","23,403",103,"23,506","21,282","21,863",328,$0,$0,$0,$0,$0,$0,105 Corporate Center Blvd ,Greensboro,NC,27408,(336) 424-6000,23-1180120,315990,Vf Corporation Retirement Plans Committee,105 Corporate Center Blvd. ,Greensboro,NC,27408,(336) 424-6000,23-1180120,Audited,"Bdo USA, LLP",13-5381590,Unqualified,Full Audit,Lpl Financial,"Consulting (general), Direct payment from the plan",Consultant,"$40,000",$0,"$40,000"
