,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Conduent Incorporated,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$2,253,738",$0,"$2,253,738"
1,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Financial Engines,Investment advisory (participants),NONE,"$1,127,433",$0,"$1,127,433"
2,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Pricewaterhousecoopers LLP,Accounting (including auditing),NONE,"$241,369",$0,"$241,369"
3,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Xerox Corporation,"Participant communication, Contract Administrator",Employer,"$229,474",$0,"$229,474"
4,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Rocaton Investment Advisors,Investment advisory (plan),NONE,"$97,710",$0,"$97,710"
5,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Aon Consulting, Inc.",Accounting (including auditing),NONE,"$34,318",$0,"$34,318"
6,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,State Street Retiree Services,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$15,302",$0,"$15,302"
7,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Mercer,Consulting (general),NONE,"$12,913",$0,"$12,913"
8,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Nepc, LLC",Investment advisory (plan),NONE,"$11,916",$0,"$11,916"
9,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Martino Flynn LLC,Participant communication,NONE,"$11,821",$0,"$11,821"
10,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Mercury Print Productions, Inc.",Participant communication,NONE,"$11,139",$0,"$11,139"
11,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,"Stevens Group, Inc.","Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$6,721",$0,"$6,721"
12,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Evestment Alliance LLC,Consulting (general),NONE,"$5,707",$0,"$5,707"
13,Xerox Corporation,01/01/2018 — 12/31/2018,01/01/1945,"$3,641,648,000",334,Multiple Employer,Yes,Yes,Trust,Trust,"9,935",670,"13,903","24,508",309,"24,817","27,486","23,688",0,$0,$0,$0,$0,$0,$0,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,334110,Christopher Reigle,Plan Administrator Committee,201 Merritt 7 ,Norwalk,CT,06851,(585) 422-0322,16-0468020,Audited,Pricewaterhousecoopers LLP,13-4008324,Unqualified,Full Audit,Total,Total,Total,"$4,059,561",$0,"$4,059,561"
